nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
118361 COMUNICACAO SOCIAL RELACOES PUBLICAS;Presencial;8.0;;;;;;;;;;0.0;;;;;;;;;
118362 COMUNICACAO SOCIAL PUBLICIDADE E PROPAGANDA;Presencial;16.0;;;;;;;;;;0.0;;;;;;;;;
ACUPUNTURA;Presencial;;;;;;;;;;2.0;;;;;;;;;;0.0
ADMINISTRACAO;Presencial;175732.0;;;;;;;;;;65690.0;;;;;;;;;
ADMINISTRACAO  CAMPOS DOS GOYTACAZES;Presencial;56.0;;;;;;;;;;38.0;;;;;;;;;
ADMINISTRACAO  CAMPUS CAMPO GRANDE;Presencial;158.0;;;;;;;;;;90.0;;;;;;;;;
ADMINISTRACAO  CAMPUS GUADALUPE;Presencial;84.0;;;;;;;;;;31.0;;;;;;;;;
ADMINISTRACAO  CAMPUS II  BARRA;Presencial;207.0;;;;;;;;;;125.0;;;;;;;;;
ADMINISTRACAO  CAMPUS ILHA;Presencial;176.0;;;;;;;;;;80.0;;;;;;;;;
ADMINISTRACAO  CAMPUS JACAREPAGUA;Presencial;105.0;;;;;;;;;;65.0;;;;;;;;;
ADMINISTRACAO  CAMPUS MEIER;Presencial;61.0;;;;;;;;;;82.0;;;;;;;;;
ADMINISTRACAO  CAMPUS NOVA FRIBURGO;Presencial;43.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO  CAMPUS R  TAQUARA;Presencial;110.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO  CAMPUS RECREIO;Presencial;73.0;;;;;;;;;;56.0;;;;;;;;;
ADMINISTRACAO  CAMPUS VI  CENTRO;Presencial;226.0;;;;;;;;;;161.0;;;;;;;;;
ADMINISTRACAO  CHACARA SANTO ANTONIO;Presencial;1176.0;;;;;;;;;;511.0;;;;;;;;;
